,Наименование,Марка стали,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Заглушка 400х16 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,400х16,Заглушка,Металлопрокат
0,Заглушка 426х10 эллиптическая ГОСТ 17379-2001,ст20,4 386.80,Армасети Екб (343) 226-09-76,,Екатеринбург,426х10,Заглушка,Металлопрокат
1,Заглушка 426х10 эллиптическая ГОСТ 17379-2001,ст20,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,426х10,Заглушка,Металлопрокат
0,Заглушка 450х12 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,450х12,Заглушка,Металлопрокат
0,Заглушка 450х16 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,450х16,Заглушка,Металлопрокат
0,Заглушка 500х8 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,500х8,Заглушка,Металлопрокат
0,Заглушка 500х10 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,500х10,Заглушка,Металлопрокат
0,Заглушка 500х12 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,500х12,Заглушка,Металлопрокат
0,Заглушка 530х10 эллиптическая ГОСТ 17379-2001,ст20,6 602.31,Армасети Нск (383) 209-56-40,,Новосибирск,530х10,Заглушка,Металлопрокат
1,Заглушка 530х10 эллиптическая ГОСТ 17379-2001,ст20,звоните,СТАЛЕРОН ГРУПП Мск (495) 374-74-72,,Москва,530х10,Заглушка,Металлопрокат
0,Заглушка 600х6 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,600х6,Заглушка,Металлопрокат
0,Заглушка 600х8 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,600х8,Заглушка,Металлопрокат
0,Заглушка 600х10 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,600х10,Заглушка,Металлопрокат
0,Заглушка 600х12 эллиптическая ГОСТ 6533-78,09Г2С,звоните,АСКОН-Металл Мск (495) 744-65-69,,Москва,600х12,Заглушка,Металлопрокат
0,Заглушка 630х10 эллиптическая ГОСТ 17379-2001,ст20,9 166.00,Армасети Екб (343) 226-09-76,,Екатеринбург,630х10,Заглушка,Металлопрокат
1,Заглушка 630х10 эллиптическая ГОСТ 17379-2001,ст20,12 016.49,Армасети Нск (383) 209-56-40,,Новосибирск,630х10,Заглушка,Металлопрокат
