,Наименование,"Цена за 1шт., руб. с НДС",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
4,Муфта ПНД 315 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,12 390.60,Сантехкомплект Мск (495) 645-00-00,,Москва,315,Муфта ПНД,Металлопрокат
5,Муфта ПНД 315 PN 16 SDR 11 ПЭ 100 электросварная SMART JOINT EFCL315A,13 579.10,Сантехкомплект Мск (495) 645-00-00,,Москва,315,Муфта ПНД,Металлопрокат
0,Муфта ПНД 355 SDR 11 ПЭ 100,10 586.90,МК Промстройметалл Мск (495) 617-17-17,,Москва,355,Муфта ПНД,Металлопрокат
1,Муфта ПНД 355 PN 16 SDR 11 ПЭ 100 электросварная Type B TEGA,16 204.00,Сантехкомплект Мск (495) 645-00-00,,Москва,355,Муфта ПНД,Металлопрокат
2,Муфта ПНД 355 PN 16 SDR 11 ПЭ 100 электросварная SMART JOINT EFCL355A,19 107.40,Сантехкомплект Мск (495) 645-00-00,,Москва,355,Муфта ПНД,Металлопрокат
3,Муфта ПНД 355 PN 10 SDR 17 ПЭ 100 электросварная EUROSTANDARD,19 323.00,Сантехкомплект Мск (495) 645-00-00,,Москва,355,Муфта ПНД,Металлопрокат
4,Муфта ПНД 355 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,23 182.10,Сантехкомплект Мск (495) 645-00-00,,Москва,355,Муфта ПНД,Металлопрокат
0,Муфта ПНД 400 SDR 11 электросварная TEGA,14 980.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,400,Муфта ПНД,Металлопрокат
1,Муфта ПНД 400 PN 16 SDR 11 ПЭ 100 электросварная SMART JOINT EFCL400A,22 919.00,Сантехкомплект Мск (495) 645-00-00,,Москва,400,Муфта ПНД,Металлопрокат
2,Муфта ПНД 400 PN 10 SDR 17 ПЭ 100 электросварная EUROSTANDARD,23 466.40,Сантехкомплект Мск (495) 645-00-00,,Москва,400,Муфта ПНД,Металлопрокат
3,Муфта ПНД 400 PN 16 SDR 11 ПЭ 100 электросварная EUROSTANDARD,26 550.70,Сантехкомплект Мск (495) 645-00-00,,Москва,400,Муфта ПНД,Металлопрокат
0,Муфта ПНД 450 SDR 17 электросварная TEGA,16 637.22,МК Промстройметалл Мск (495) 617-17-17,,Москва,450,Муфта ПНД,Металлопрокат
1,Муфта ПНД 450 SDR 11 электросварная TEGA,21 901.00,МК Промстройметалл Мск (495) 617-17-17,,Москва,450,Муфта ПНД,Металлопрокат
